
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 78 | valid ndcg@100: 0.4690 | best valid: 0.4696 | train ndcg@100: 0.7421
epoch 79 | valid ndcg@100: 0.4693 | best valid: 0.4696 | train ndcg@100: 0.7429
epoch 80 | valid ndcg@100: 0.4696 | best valid: 0.4696 | train ndcg@100: 0.7435
epoch 81 | valid ndcg@100: 0.4695 | best valid: 0.4696 | train ndcg@100: 0.7439
epoch 82 | valid ndcg@100: 0.4695 | best valid: 0.4696 | train ndcg@100: 0.7449
epoch 83 | valid ndcg@100: 0.4692 | best valid: 0.4696 | train ndcg@100: 0.7451
epoch 84 | valid ndcg@100: 0.4690 | best valid: 0.4696 | train ndcg@100: 0.7456
epoch 85 | valid ndcg@100: 0.4695 | best valid: 0.4696 | train ndcg@100: 0.7466
epoch 86 | valid ndcg@100: 0.4689 | best valid: 0.4696 | train ndcg@100: 0.7470
epoch 87 | valid ndcg@100: 0.4692 | best valid: 0.4696 | train ndcg@100: 0.7476
epoch 88 | valid ndcg@100: 0.4693 | best valid: 0.4696 | train ndcg@100: 0.7483
epoch 89 | valid ndcg@100: 0.4693 | best valid: 0.4696 | train ndcg@100: 0.7485
epoch 90 | valid ndcg@100: 0.4694 | best valid: 0.4696 | train ndcg@100: 0.7490
epoch 91 | valid ndcg@100: 0.4689 | best valid: 0.4696 | train ndcg@100: 0.7493
epoch 92 | valid ndcg@100: 0.4692 | best valid: 0.4696 | train ndcg@100: 0.7502
epoch 93 | valid ndcg@100: 0.4693 | best valid: 0.4696 | train ndcg@100: 0.7504
epoch 94 | valid ndcg@100: 0.4691 | best valid: 0.4696 | train ndcg@100: 0.7506
epoch 95 | valid ndcg@100: 0.4693 | best valid: 0.4696 | train ndcg@100: 0.7514
epoch 96 | valid ndcg@100: 0.4695 | best valid: 0.4696 | train ndcg@100: 0.7516
epoch 97 | valid ndcg@100: 0.4694 | best valid: 0.4696 | train ndcg@100: 0.7517
epoch 98 | valid ndcg@100: 0.4696 | best valid: 0.4696 | train ndcg@100: 0.7521
