
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp1
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 131 | valid ndcg@100: 0.4516 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 132 | valid ndcg@100: 0.4517 | best valid: 0.4549 | train ndcg@100: 0.6921
epoch 133 | valid ndcg@100: 0.4512 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 134 | valid ndcg@100: 0.4513 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 135 | valid ndcg@100: 0.4517 | best valid: 0.4549 | train ndcg@100: 0.6918
epoch 136 | valid ndcg@100: 0.4516 | best valid: 0.4549 | train ndcg@100: 0.6917
epoch 137 | valid ndcg@100: 0.4523 | best valid: 0.4549 | train ndcg@100: 0.6920
epoch 138 | valid ndcg@100: 0.4511 | best valid: 0.4549 | train ndcg@100: 0.6914
epoch 139 | valid ndcg@100: 0.4511 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 140 | valid ndcg@100: 0.4513 | best valid: 0.4549 | train ndcg@100: 0.6914
epoch 141 | valid ndcg@100: 0.4517 | best valid: 0.4549 | train ndcg@100: 0.6917
epoch 142 | valid ndcg@100: 0.4509 | best valid: 0.4549 | train ndcg@100: 0.6917
epoch 143 | valid ndcg@100: 0.4507 | best valid: 0.4549 | train ndcg@100: 0.6915
epoch 144 | valid ndcg@100: 0.4499 | best valid: 0.4549 | train ndcg@100: 0.6916
epoch 145 | valid ndcg@100: 0.4502 | best valid: 0.4549 | train ndcg@100: 0.6913
epoch 146 | valid ndcg@100: 0.4502 | best valid: 0.4549 | train ndcg@100: 0.6908
epoch 147 | valid ndcg@100: 0.4505 | best valid: 0.4549 | train ndcg@100: 0.6911
epoch 148 | valid ndcg@100: 0.4496 | best valid: 0.4549 | train ndcg@100: 0.6913
epoch 149 | valid ndcg@100: 0.4501 | best valid: 0.4549 | train ndcg@100: 0.6909
epoch 150 | valid ndcg@100: 0.4504 | best valid: 0.4549 | train ndcg@100: 0.6910
epoch 151 | valid ndcg@100: 0.4503 | best valid: 0.4549 | train ndcg@100: 0.6908
epoch 152 | valid ndcg@100: 0.4499 | best valid: 0.4549 | train ndcg@100: 0.6909
epoch 153 | valid ndcg@100: 0.4506 | best valid: 0.4549 | train ndcg@100: 0.6905
epoch 154 | valid ndcg@100: 0.4501 | best valid: 0.4549 | train ndcg@100: 0.6905
epoch 155 | valid ndcg@100: 0.4497 | best valid: 0.4549 | train ndcg@100: 0.6903
epoch 156 | valid ndcg@100: 0.4498 | best valid: 0.4549 | train ndcg@100: 0.6903
epoch 157 | valid ndcg@100: 0.4498 | best valid: 0.4549 | train ndcg@100: 0.6899
epoch 158 | valid ndcg@100: 0.4490 | best valid: 0.4549 | train ndcg@100: 0.6899
epoch 159 | valid ndcg@100: 0.4506 | best valid: 0.4549 | train ndcg@100: 0.6900
epoch 160 | valid ndcg@100: 0.4493 | best valid: 0.4549 | train ndcg@100: 0.6900
epoch 161 | valid ndcg@100: 0.4496 | best valid: 0.4549 | train ndcg@100: 0.6898
epoch 162 | valid ndcg@100: 0.4500 | best valid: 0.4549 | train ndcg@100: 0.6896
epoch 163 | valid ndcg@100: 0.4496 | best valid: 0.4549 | train ndcg@100: 0.6897
epoch 164 | valid ndcg@100: 0.4491 | best valid: 0.4549 | train ndcg@100: 0.6895
epoch 165 | valid ndcg@100: 0.4487 | best valid: 0.4549 | train ndcg@100: 0.6897
epoch 166 | valid ndcg@100: 0.4484 | best valid: 0.4549 | train ndcg@100: 0.6895
epoch 167 | valid ndcg@100: 0.4484 | best valid: 0.4549 | train ndcg@100: 0.6892
epoch 168 | valid ndcg@100: 0.4479 | best valid: 0.4549 | train ndcg@100: 0.6898
epoch 169 | valid ndcg@100: 0.4486 | best valid: 0.4549 | train ndcg@100: 0.6894
epoch 170 | valid ndcg@100: 0.4484 | best valid: 0.4549 | train ndcg@100: 0.6892
epoch 171 | valid ndcg@100: 0.4482 | best valid: 0.4549 | train ndcg@100: 0.6888
epoch 172 | valid ndcg@100: 0.4478 | best valid: 0.4549 | train ndcg@100: 0.6888
epoch 173 | valid ndcg@100: 0.4468 | best valid: 0.4549 | train ndcg@100: 0.6883
epoch 174 | valid ndcg@100: 0.4476 | best valid: 0.4549 | train ndcg@100: 0.6886
